Provinsi,Luas Daerah,Penduduk,,,,,Pendapatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jumlah Penduduk 2020,Jumlah Penduduk 2021,Jumlah Penduduk 2022,Jumlah Penduduk 2023,Jumlah Penduduk 2024,Februari 2020,,,rata-rata,Agustus 2020,,,rata-rata,2020,,,Jumlah,Februari 2021,,,rata-rata,Agustus 2021,,,rata-rata,2021,,,Jumlah,Februari 2022,,,rata-rata,Agustus 2022,,,rata-rata,2022,,,Jumlah,Februari 2023,,,rata-rata,Agustus 2023,,,rata-rata,2023,,,Jumlah,Februari 2024,,,rata-rata,Agustus 2024,,,rata-rata,2024,,,Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,,Kelompok Umur,,,,Kelompok Umur,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,Kelompok Umur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,15-24,25-54,55+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nusa Tenggara Timur,46446.64,5326000,5388000,5466000,5569000,5656000,1017400,1249200,950300,1072300,874800,1055200,954200,961400,946100,1152200,952300,1016900,718800,1037200,846100,867400,760900,942300,712800,805300,739900,989800,779500,836400,731900,1115000,961300,936100,927500,1098200,948600,991400,1106600,955000,963800,959500,847200,1080100,746600,891300,1012700,1245800,940000,1066200,930000,1163000,843300,978700,985700,1200800,881900,1022800,987200,1401800,1207000,1198700,986500,1301300,1044500,1110700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalimantan Barat,147037.04,5414000,5471000,5541000,5623000,5696000,1347500,1805000,1196800,1449800,1144500,1705600,1314600,1388200,1246000,1755300,1255700,1419000,833400,1596900,1211500,1213900,1286800,155900,1189700,877500,1060100,876400,1200600,1045700,1318000,2005200,1123100,1482100,1319100,1954100,1495100,1589400,1979700,1309100,1535800,1454300,1516400,1827300,1296400,1546700,1602500,2091500,1480300,1724800,1559500,1959400,1388400,1635700,1192100,1955700,1971100,1706300,2106600,2136000,1628400,1957000,1649400,2045900,1799800,1831700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalimantan Tengah,153443.91,2670000,2702000,2741000,2774000,2810000,1697300,2188000,1418400,1767900,1385100,2110400,1650700,1715400,1541200,2149200,1534600,1741700,1385300,1993600,1563100,1647300,1497000,1961300,1628700,1695700,1441200,1977500,1595900,1671500,1722700,2467300,1828800,2006300,1865800,2512200,2090300,2156100,2489800,1959600,2081200,2011000,2050100,2720400,1618500,2129700,2282000,2693800,2213800,2396500,2166100,2707100,1916200,2263100,1857500,2872700,1936800,2222300,2150100,2859300,2150500,2386600,2003800,2866000,2043700,2304500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalimantan Selatan,37135.05,4074000,4123000,4182000,4222000,4273000,1067700,1996400,1255800,1440000,981700,1699700,1261400,1314300,1024700,1848100,1258600,1377100,913600,1709300,1202500,1275100,1105100,1581000,1127000,1271000,1009400,1645200,1164800,1273100,1842300,1807400,1537100,1728900,1636300,2009900,1429000,1691700,1908700,1483100,1710300,1664000,1286300,1789800,1227000,1434400,1745900,2003600,1471700,1740400,1516100,1896700,1349400,1587400,2720200,2051700,1337400,2036400,2231500,2127400,1695300,2018100,2475900,2089600,1516400,2027300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalimantan Timur,126981.28,3766000,3808000,3860000,3910000,4046000,1867900,2620500,1983400,2157300,1803500,2401200,1805600,2003400,1835700,2510900,1894500,2080400,1603700,2095200,1807400,1835400,1328500,2166600,1625000,1706700,1466100,2130900,1716200,1771100,3311400,2430100,1856000,2532500,3162200,2778300,2216800,2719100,2604200,2036400,2625800,2940700,1870500,2732600,2210700,2271300,2469900,3091100,2583500,2714800,2170200,2911900,2397100,2493100,2274200,3474400,2078400,2609000,2737300,3538500,3456200,3244000,2505800,3506500,2767300,2926500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalimantan Utara,70101.18,702000,714000,728000,730000,740000,1195900,2741100,2446000,2127700,1524600,2405800,1887300,1939200,1360300,2573500,2166700,2033500,603100,1594300,1598800,1265400,2266600,2099700,1601700,1989300,1434900,1847000,1600300,1627400,3026300,2408300,1918100,2450900,1566600,2403400,1985400,1985100,2405900,1951800,2218000,1775900,1278400,2431700,1880700,1863600,2747300,2477700,1980000,2401700,2012900,2454700,1930400,2132600,,2556100,1582800,2069500,2115000,2987300,2298800,2467000,1057500,2771700,1940800,2268200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Utara,14500.28,2622000,2639000,2660000,2682000,2702000,2086200,2401400,1888900,2125500,1364500,1996700,1702600,1687900,1725400,2199100,1795800,1906700,1521600,2097900,1742000,1787200,1749900,1872400,1477500,1699900,1635800,1985200,1609800,1743600,1834900,2033400,1648000,1838800,1946700,2438800,1872700,2086100,2236100,1760400,1962400,2016400,1488900,2255300,1753900,1832700,1933200,2256700,1840500,2010100,1711100,2256000,1797200,1921400,2146700,2684900,2052800,2294800,2053800,2572800,2147500,2258000,2100300,2628900,2100200,2276400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Tengah,61605.72,2986000,3022000,3066000,3087000,3122000,1634100,1898700,1257300,1596700,1178600,1567500,1359200,1368400,1406400,1733100,1308300,1482600,1170300,1697900,155400,1007900,952400,1354600,1469900,1259000,1061400,1526300,812700,1133400,1376400,1694800,1140600,1403900,1419600,1863400,1328900,1537300,1779100,1234800,1470600,1478500,1797500,1838900,1273100,1636500,1355200,1881600,1493600,1576800,1576400,1860300,1383400,1606700,1261700,1474700,1371600,1369300,1896700,2137200,1690800,1908200,1579200,1806000,1531200,1638800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,45330.55,9074000,9140000,9226000,9362000,9463000,2038700,2090200,1595300,1908100,1341600,1947700,1578600,1622600,1690200,2019000,1587000,1765400,1608400,1809900,1414400,1610900,1104800,1743600,1311400,1386600,1356600,1776800,1362900,1498800,1413100,1899000,1480700,1597600,1804600,2163000,1919500,1962400,2031000,1700100,1780000,1883500,1134900,2001900,1627900,1588200,1734600,2247400,1761500,1914500,1434800,2124700,1694700,1751400,1634700,1699900,1334200,1556300,1968300,2341000,1787800,2032400,1801500,2020500,1561000,1794300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Tenggara,36159.71,2625000,2659000,2702000,2749000,2793000,1673300,1740900,1255900,1556700,1203700,1726500,1232900,1387700,1438500,1733700,1244400,1472200,1656100,1588500,1137800,1460800,1086200,1396900,1014800,1166000,1371200,1492700,1076300,1313400,1425600,1887400,1190300,1501100,1554600,2009200,1501000,1688300,1948300,1345700,1594700,1621400,1225200,1933700,1251100,1470000,1295300,1907200,1520900,1574500,1260300,1920500,1386000,1522200,2189100,2080800,1474700,1914900,1748600,2303800,1575900,1876100,1968900,2192300,1525300,1895500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorontalo,12025.15,1172000,1181000,1193000,1213000,1228000,1357500,1628800,1324500,1436900,1210000,1583000,1332200,1375100,1283800,1605900,1328400,1406000,1052100,1475700,1103100,1210300,1434900,1370400,1253500,1352900,1243500,1423100,1178300,1281600,1754700,1703900,1165200,1541300,1247100,1855100,1512100,1538100,1779500,1338700,1539700,1392600,1383100,1385400,1446100,1404900,1435600,1667100,1356500,1486400,1409400,1526300,1401300,1445600,1008000,1848500,1341900,1399500,1347600,1949200,1573200,1623300,1177800,1898900,1457600,1511400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
